Tid=meas,Lys=meas,Bryter=meas,GyroAngle=meas,PowerA=meas,PowerD=meas,Avstand=calc
start_tidspunkt=1586629887.51736,lys_initial=5
0,5,0,0,0,0,
0.1629159450531006,5,0,0,0,0,
0.2788429260253906,5,0,0,0,0,
0.4002220630645752,5,0,0,0,0,
0.5169899463653564,5,0,0,0,0,
0.6414611339569092,5,0,0,0,0,
0.7573621273040771,5,0,0,0,0,
0.8734071254730225,5,0,0,0,0,
0.9979350566864014,5,0,0,0,0,
1.116671085357666,5,0,0,0,0,
1.23088002204895,5,0,0,0,0,
1.349586009979248,5,0,0,0,0,
1.473933935165405,5,0,0,0,0,
1.58903694152832,5,0,0,0,0,
1.712597131729126,5,0,0,0,0,
1.829546928405762,5,0,0,0,0,
1.941906929016113,5,0,0,0,0,
2.055233955383301,5,0,0,0,0,
2.174220085144043,5,0,0,0,0,
2.28971004486084,5,0,0,0,0,
2.398260116577148,5,0,0,0,0,
2.516761064529419,5,0,0,0,0,
2.641818046569824,5,0,0,0,0,
2.770971059799194,5,0,0,0,0,
2.884257078170776,5,0,0,0,0,
3.01098895072937,5,0,0,0,0,
3.12480902671814,5,0,0,0,0,
3.236665010452271,5,0,0,0,0,
3.35788893699646,5,0,0,0,0,
3.480904102325439,5,0,0,0,0,
3.593792915344238,5,0,0,0,0,
3.725980043411255,5,0,0,0,0,
3.848931074142456,5,0,0,0,0,
3.979696989059448,5,0,0,0,0,
4.091787099838257,5,0,0,0,0,
4.216721057891846,5,0,0,0,0,
4.337826013565063,5,0,0,0,0,
4.454721927642822,5,0,0,0,0,
4.580697059631348,5,0,0,0,0,
4.71597695350647,5,0,1,0,0,
4.833369016647339,5,1,0,0,0,
4.960042953491211,5,1,-1,0,0,
5.091825008392334,5,1,-1,0,0,
5.220747947692871,5,0,2,0,0,
5.340013027191162,5,0,-1,0,0,
5.472993135452271,5,1,1,0,0,
5.589790105819702,5,1,-3,0,0,
5.718713998794556,5,1,-1,0,0,
5.852128028869629,5,1,1,0,0,
5.968194007873535,5,1,0,0,0,
6.087460041046143,5,1,-2,0,0,
6.22677206993103,5,1,-1,0,0,
6.352941989898682,5,1,-1,0,0,
6.481452941894531,5,1,0,0,0,
6.599621057510376,5,1,0,0,0,
6.717462062835693,5,0,-1,0,0,
6.854203939437866,5,0,-1,0,0,
6.976122140884399,5,0,-2,0,0,
7.103559970855713,5,1,-1,0,0,
7.22971510887146,5,1,-1,0,0,
7.359499931335449,5,1,-1,0,0,
7.486182928085327,5,0,-1,0,0,
7.613358974456787,5,0,-2,0,0,
7.732027053833008,5,1,-2,0,0,
7.870926141738892,5,1,-2,0,0,
8.002912044525146,5,1,-2,0,0,
8.124643087387085,5,0,-2,0,0,
8.25593900680542,5,0,-2,0,0,
8.374711990356445,5,1,-2,0,0,
8.518113136291504,5,1,-2,0,0,
8.657344102859497,5,1,-4,0,0,
8.79210901260376,5,0,-4,0,0,
8.941028118133545,5,0,-2,0,0,
9.083981037139893,5,1,-2,0,0,
9.230962991714478,5,1,-3,0,0,
9.367923974990845,5,0,-5,0,0,
9.51972508430481,5,0,-4,0,0,
9.651309967041016,5,1,-2,0,0,
9.816138982772827,5,1,-3,0,0,
9.9637770652771,5,1,-4,0,0,
10.10674095153809,5,1,-5,0,0,
10.24531292915344,5,1,-3,0,0,
10.37177801132202,5,1,-2,0,0,
10.49137711524963,5,1,-3,0,0,
10.62108612060547,5,1,-4,0,0,
10.73878407478333,5,1,-5,0,0,
10.85953497886658,5,0,-5,0,0,
