Avstand=calc,Lys=meas,Bryter=meas,PowerD=meas,GyroAngle=meas,Tid=meas,PowerA=meas
start_tidspunkt=1586629887.51736,lys_initial=5
,5,0,0,0,0,0
,5,0,0,0,0.1629159450531006,0
,5,0,0,0,0.2788429260253906,0
,5,0,0,0,0.4002220630645752,0
,5,0,0,0,0.5169899463653564,0
,5,0,0,0,0.6414611339569092,0
,5,0,0,0,0.7573621273040771,0
,5,0,0,0,0.8734071254730225,0
,5,0,0,0,0.9979350566864014,0
,5,0,0,0,1.116671085357666,0
,5,0,0,0,1.23088002204895,0
,5,0,0,0,1.349586009979248,0
,5,0,0,0,1.473933935165405,0
,5,0,0,0,1.58903694152832,0
,5,0,0,0,1.712597131729126,0
,5,0,0,0,1.829546928405762,0
,5,0,0,0,1.941906929016113,0
,5,0,0,0,2.055233955383301,0
,5,0,0,0,2.174220085144043,0
,5,0,0,0,2.28971004486084,0
,5,0,0,0,2.398260116577148,0
,5,0,0,0,2.516761064529419,0
,5,0,0,0,2.641818046569824,0
,5,0,0,0,2.770971059799194,0
,5,0,0,0,2.884257078170776,0
,5,0,0,0,3.01098895072937,0
,5,0,0,0,3.12480902671814,0
,5,0,0,0,3.236665010452271,0
,5,0,0,0,3.35788893699646,0
,5,0,0,0,3.480904102325439,0
,5,0,0,0,3.593792915344238,0
,5,0,0,0,3.725980043411255,0
,5,0,0,0,3.848931074142456,0
,5,0,0,0,3.979696989059448,0
,5,0,0,0,4.091787099838257,0
,5,0,0,0,4.216721057891846,0
,5,0,0,0,4.337826013565063,0
,5,0,0,0,4.454721927642822,0
,5,0,0,0,4.580697059631348,0
,5,0,0,1,4.71597695350647,0
,5,1,0,0,4.833369016647339,0
,5,1,0,-1,4.960042953491211,0
,5,1,0,-1,5.091825008392334,0
,5,0,0,2,5.220747947692871,0
,5,0,0,-1,5.340013027191162,0
,5,1,0,1,5.472993135452271,0
,5,1,0,-3,5.589790105819702,0
,5,1,0,-1,5.718713998794556,0
,5,1,0,1,5.852128028869629,0
,5,1,0,0,5.968194007873535,0
,5,1,0,-2,6.087460041046143,0
,5,1,0,-1,6.22677206993103,0
,5,1,0,-1,6.352941989898682,0
,5,1,0,0,6.481452941894531,0
,5,1,0,0,6.599621057510376,0
,5,0,0,-1,6.717462062835693,0
,5,0,0,-1,6.854203939437866,0
,5,0,0,-2,6.976122140884399,0
,5,1,0,-1,7.103559970855713,0
