Tid=meas,PowerA=calc,PowerB=calc,PowerC=calc,PowerD=calc,Ts=calc,W_=meas,A_=meas,S_=meas,D_=meas
start_tidspunkt=1586725195.627951
0,0,0,0,0,,0,0,0,0
0.1294732093811035,0,0,0,0,0.1294732093811035,0,0,0,0
0.2084071636199951,0,0,0,0,0.0789339542388916,0,0,0,0
0.3024141788482666,0,0,0,0,0.09400701522827151,0,0,0,0
0.3862221240997314,0,0,0,0,0.08380794525146479,0,0,0,0
0.4734671115875244,0,0,0,0,0.08724498748779302,0,0,0,0
0.5578792095184326,0,0,0,0,0.0844120979309082,0,0,0,0
0.6403450965881348,0,0,0,0,0.08246588706970215,0,0,0,0
0.7265510559082031,0,0,0,0,0.08620595932006836,0,0,0,0
0.8072590827941895,0,0,0,0,0.08070802688598633,0,0,0,0
0.8912360668182373,0,0,0,0,0.08397698402404785,0,0,0,0
0.9723219871520996,0,0,0,0,0.0810859203338623,0,0,0,0
1.054083108901978,0,0,0,0,0.08176112174987837,0,0,0,0
1.139828205108643,0,0,0,0,0.08574509620666504,0,0,0,0
1.222530126571655,0,0,0,0,0.08270192146301203,0,0,0,0
1.307362079620361,0,0,0,0,0.08483195304870605,0,0,0,0
1.39128303527832,0,0,0,0,0.08392095565795898,0,0,0,0
1.475406169891357,0,0,0,0,0.08412313461303689,0,0,0,0
1.56388521194458,0,0,0,0,0.0884790420532231,0,0,0,0
1.643202066421509,0,0,0,0,0.07931685447692893,0,0,0,0
1.724632978439331,0,0,0,0,0.08143091201782204,0,0,0,0
1.805945158004761,0,0,0,0,0.08131217956542991,0,0,0,0
1.894436120986938,0,0,0,0,0.08849096298217707,0,0,0,0
1.974776029586792,0,0,0,0,0.08033990859985396,0,0,0,0
2.051997184753418,0,0,0,0,0.07722115516662598,0,0,0,0
2.137318134307861,0,0,0,0,0.08532094955444292,0,0,0,0
2.221328020095825,0,0,0,0,0.08400988578796431,0,0,0,0
2.31541109085083,0,0,0,0,0.09408307075500488,0,0,0,0
2.396682024002075,0,0,0,0,0.08127093315124512,0,0,0,0
2.480442047119141,0,0,0,50,0.08376002311706587,0,0,0,1
2.568075180053711,0,0,0,50,0.08763313293456987,0,0,0,1
2.654435157775879,0,0,0,50,0.08635997772216797,0,0,0,1
2.749902009963989,0,0,0,50,0.09546685218810991,0,0,0,1
2.843049049377441,0,0,0,50,0.09314703941345215,0,0,0,1
2.932850122451782,0,0,0,50,0.08980107307434082,0,0,0,1
3.019404172897339,0,0,0,50,0.08655405044555708,0,0,0,1
3.112607002258301,0,0,0,50,0.09320282936096191,0,0,0,1
3.200860977172852,0,0,0,50,0.08825397491455123,0,0,0,1
3.2866370677948,0,0,0,50,0.0857760906219478,0,0,0,1
3.378291130065918,0,0,0,50,0.09165406227111816,0,0,0,1
3.46638298034668,50,0,0,50,0.08809185028076216,1,0,0,1
3.567251205444336,50,0,0,0,0.1008682250976558,1,0,0,0
3.655151128768921,50,0,0,0,0.08789992332458496,1,0,0,0
3.742374181747437,50,0,0,0,0.08722305297851607,1,0,0,0
3.826104164123535,50,0,0,0,0.08372998237609819,1,0,0,0
3.926590204238892,50,0,0,0,0.10048604011535689,1,0,0,0
4.014641046524048,50,0,0,0,0.0880508422851558,1,0,0,0
4.101490020751953,50,0,0,0,0.08684897422790527,1,0,0,0
4.190404176712036,50,0,0,0,0.08891415596008301,1,0,0,0
4.280057191848755,50,0,0,0,0.08965301513671875,1,0,0,0
4.376408100128174,50,0,0,0,0.09635090827941895,1,0,0,0
4.465884208679199,0,0,50,0,0.08947610855102539,0,0,1,0
4.558080196380615,0,0,50,0,0.09219598770141602,0,0,1,0
4.648251056671143,0,0,50,0,0.09017086029052734,0,0,1,0
4.740241050720215,0,0,50,0,0.09198999404907227,0,0,1,0
4.829967021942139,0,0,50,0,0.08972597122192383,0,0,1,0
4.922487020492554,0,0,50,0,0.09251999855041504,0,0,1,0
5.022150993347168,0,0,50,0,0.09966397285461426,0,0,1,0
5.116103172302246,0,0,50,0,0.09395217895507812,0,0,1,0
5.205042123794556,0,0,50,0,0.08893895149230957,0,0,1,0
5.293472051620483,0,0,50,0,0.08842992782592773,0,0,1,0
5.384500026702881,0,0,50,0,0.09102797508239746,0,0,1,0
5.473200082778931,0,0,50,0,0.0887000560760498,0,0,1,0
5.570242166519165,0,0,50,0,0.09704208374023438,0,0,1,0
5.655219078063965,0,0,0,0,0.0849769115447998,0,0,0,0
5.752049207687378,0,0,0,0,0.09683012962341309,0,0,0,0
5.841229200363159,0,0,0,0,0.08917999267578125,0,0,0,0
5.925786018371582,0,0,0,0,0.08455681800842285,0,0,0,0
6.00802206993103,0,0,0,0,0.08223605155944824,0,0,0,0
6.088919162750244,0,0,0,0,0.08089709281921387,0,0,0,0
6.171328067779541,0,0,0,0,0.08240890502929688,0,0,0,0
6.254365205764771,0,0,0,0,0.08303713798523038,0,0,0,0
6.34209418296814,0,0,0,0,0.08772897720336825,0,0,0,0
6.428260087966919,0,0,0,0,0.0861659049987793,0,0,0,0
6.511152982711792,0,0,0,0,0.08289289474487305,0,0,0,0
6.594068050384521,0,0,0,0,0.0829150676727286,0,0,0,0
6.672590017318726,0,0,0,0,0.07852196693420499,0,0,0,0
6.759525060653687,0,0,0,0,0.08693504333496183,0,0,0,0
6.842663049697876,0,0,0,0,0.08313798904418856,0,0,0,0
6.921209096908569,0,0,0,0,0.07854604721069336,0,0,0,0
7.003234148025513,0,0,0,0,0.08202505111694336,0,0,0,0
7.086802005767822,0,50,0,0,0.08356785774230957,0,1,0,0
