Tid=meas,PowerA=calc,PowerD=calc,A_=meas,Ts=calc,W_=meas,PowerB=calc,PowerC=calc,D_=meas,S_=meas
start_tidspunkt=1586728944.278319
0,0,0,0,,0,0,0,0,0
0.1097590923309326,0,0,0,0.1097590923309326,0,0,0,0,0
0.1875720024108887,0,0,0,0.07781291007995605,0,0,0,0,0
0.2692341804504395,0,0,0,0.08166217803955078,0,0,0,0,0
0.3489940166473389,0,0,0,0.07975983619689941,0,0,0,0,0
0.4317951202392578,0,0,0,0.08280110359191895,0,0,0,0,0
0.521522045135498,0,0,0,0.08972692489624023,0,0,0,0,0
0.6019341945648193,0,0,0,0.08041214942932129,0,0,0,0,0
0.6809771060943604,0,0,0,0.07904291152954102,0,0,0,0,0
0.7691102027893066,0,0,0,0.08813309669494629,0,0,0,0,0
0.8513572216033936,0,0,0,0.08224701881408691,0,0,0,0,0
0.9388902187347412,0,0,0,0.08753299713134766,0,0,0,0,0
1.01947021484375,0,0,0,0.08057999610900879,0,0,0,0,0
1.098165035247803,0,0,0,0.07869482040405273,0,0,0,0,0
1.177915096282959,0,0,0,0.07975006103515625,0,0,0,0,0
1.26482105255127,0,0,0,0.08690595626831055,0,0,0,0,0
1.343893051147461,0,0,0,0.07907199859619141,0,0,0,0,0
1.42859411239624,0,0,0,0.0847010612487793,0,0,0,0,0
1.5088050365448,0,0,0,0.08021092414855957,0,0,0,0,0
1.591536045074463,0,0,0,0.08273100852966309,0,0,0,0,0
1.677073001861572,0,0,0,0.08553695678710938,0,0,0,0,0
1.76695704460144,0,0,0,0.08988404273986816,0,0,0,0,0
1.848962068557739,0,0,0,0.08200502395629883,0,0,0,0,0
1.928810119628906,0,0,0,0.07984805107116699,0,0,0,0,0
2.006691217422485,0,0,0,0.0778810977935791,0,0,0,0,0
2.09104323387146,0,0,0,0.08435201644897461,0,0,0,0,0
2.172766208648682,0,0,0,0.08172297477722168,0,0,0,0,0
2.263407230377197,0,0,0,0.09064102172851563,0,0,0,0,0
2.355255126953125,0,0,0,0.09184789657592773,0,0,0,0,0
2.436866044998169,0,0,0,0.08161091804504395,0,0,0,0,0
2.522710084915161,0,0,0,0.08584403991699219,0,0,0,0,0
2.606824159622192,0,0,0,0.08411407470703125,0,0,0,0,0
2.686640024185181,0,0,0,0.07981586456298828,0,0,0,0,0
2.775324106216431,0,0,0,0.08868408203125,0,0,0,0,0
2.864540100097656,0,0,0,0.08921599388122559,0,0,0,0,0
2.943988084793091,0,0,0,0.07944798469543457,0,0,0,0,0
3.023114204406738,0,0,0,0.07912611961364746,0,0,0,0,0
3.101377010345459,0,0,0,0.0782628059387207,0,0,0,0,0
3.180176019668579,0,0,0,0.07879900932312012,0,0,0,0,0
3.265329122543335,0,0,0,0.08515310287475586,0,0,0,0,0
3.348184108734131,0,0,0,0.0828549861907959,0,0,0,0,0
3.427793025970459,0,0,0,0.07960891723632813,0,0,0,0,0
3.509561061859131,0,0,0,0.08176803588867188,0,0,0,0,0
3.589222192764282,0,0,0,0.07966113090515137,0,0,0,0,0
3.673985004425049,0,0,0,0.0847628116607666,0,0,0,0,0
3.752172231674194,0,0,0,0.07818722724914551,0,0,0,0,0
3.839560031890869,0,0,0,0.0873878002166748,0,0,0,0,0
3.919339179992676,0,0,0,0.07977914810180664,0,0,0,0,0
3.997072219848633,0,0,0,0.07773303985595703,0,0,0,0,0
4.081667184829712,0,0,0,0.0845949649810791,0,0,0,0,0
4.161250114440918,0,0,0,0.07958292961120605,0,0,0,0,0
4.240510225296021,0,0,0,0.07926011085510254,0,0,0,0,0
4.32075023651123,0,0,0,0.08024001121520996,0,0,0,0,0
4.400102138519287,0,0,0,0.07935190200805664,0,0,0,0,0
4.485377073287964,0,0,0,0.08527493476867676,0,0,0,0,0
4.570598125457764,0,0,0,0.0852210521697998,0,0,0,0,0
4.662063121795654,0,0,0,0.09146499633789063,0,0,0,0,0
4.743620157241821,0,0,0,0.08155703544616699,0,0,0,0,0
4.846729040145874,0,0,0,0.1031088829040527,0,0,0,0,0
4.946792125701904,0,0,0,0.1000630855560303,0,0,0,0,0
5.034868001937866,0,0,0,0.08807587623596191,0,0,0,0,0
5.113043069839478,0,0,0,0.07817506790161133,0,0,0,0,0
5.189520120620728,0,0,0,0.07647705078125,0,0,0,0,0
5.2731032371521,0,0,0,0.08358311653137207,0,0,0,0,0
5.354737043380737,0,0,0,0.0816338062286377,0,0,0,0,0
5.451189041137695,0,0,0,0.09645199775695801,0,0,0,0,0
5.539331197738647,0,0,0,0.08814215660095215,0,0,0,0,0
5.618712186813354,0,0,0,0.07938098907470703,0,0,0,0,0
5.707559108734131,0,0,0,0.08884692192077637,0,0,0,0,0
5.79326605796814,0,0,0,0.08570694923400879,0,0,0,0,0
5.872648000717163,0,0,0,0.07938194274902344,0,0,0,0,0
5.951874017715454,0,0,0,0.07922601699829102,0,0,0,0,0
6.02978515625,0,0,0,0.0779111385345459,0,0,0,0,0
6.116783142089844,0,0,0,0.08699798583984375,0,0,0,0,0
6.195318222045898,0,0,0,0.07853507995605469,0,0,0,0,0
6.284777164459229,0,0,0,0.08945894241333008,0,0,0,0,0
6.373179197311401,0,0,0,0.08840203285217285,0,0,0,0,0
6.473765134811401,0,50,0,0.1005859375,0,0,0,1,0
6.572179079055786,0,50,0,0.09841394424438477,0,0,0,1,0
6.657332181930542,0,50,0,0.08515310287475586,0,0,0,1,0
6.745345115661621,0,50,0,0.0880129337310791,0,0,0,1,0
6.84284520149231,0,50,0,0.09750008583068848,0,0,0,1,0
